Car No	Destination of block	Inbound Train No	ArrivalDay No	arriving time at receivingarea	Receiving track No	Starting time of humping job	    Ending time of humping job	Departure Day No	Pull back engine No	Starting time of pull back job	Ending time of pull back job	Departure time at departure area	    outbound Train No	Departure track No
26	AK	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,2:20	Day1,3:0	Day1,3:45	o5	D6
27	AH	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,2:20	Day1,3:0	Day1,3:45	o5	D6
14	AM	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,3:0	Day1,3:10	Day1,3:55	o6	D1
17	AN	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,2:20	Day1,3:15	Day1,4:5	o7	D5
18	AN	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,2:20	Day1,3:15	Day1,4:5	o7	D5
6	AP	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,2:20	Day1,3:15	Day1,4:5	o7	D5
13	AJ	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,2:20	Day1,3:15	Day1,4:5	o7	D5
21	BC	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,2:20	Day1,3:15	Day1,4:5	o7	D5
19	AE	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,3:10	Day1,3:20	Day1,4:15	o8	D2
2	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
11	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
12	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
41	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
44	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
46	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
49	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
50	AW	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
1	AF	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
7	AF	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
32	AF	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
22	AY	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
36	AY	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:0	Day1,6:40	Day1,7:25	o9	D3
13	BD	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:40	Day1,6:50	Day1,7:35	o10	D1
18	BD	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:40	Day1,6:50	Day1,7:35	o10	D1
20	BD	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:40	Day1,6:50	Day1,7:35	o10	D1
30	BD	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:40	Day1,6:50	Day1,7:35	o10	D1
5	BG	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
19	BG	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
24	BG	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
28	BG	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
8	AP	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
15	AP	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
21	AN	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
33	AN	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
31	AJ	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
42	AJ	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
34	AA	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,6:0	Day1,7:10	Day1,7:55	o11	D4
4	AX	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:50	Day1,7:15	Day1,8:5	o12	D2
10	AX	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:50	Day1,7:15	Day1,8:5	o12	D2
38	AX	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:50	Day1,7:15	Day1,8:5	o12	D2
25	AC	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:50	Day1,7:15	Day1,8:5	o12	D2
26	AC	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:50	Day1,7:15	Day1,8:5	o12	D2
27	AC	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,6:50	Day1,7:15	Day1,8:5	o12	D2
6	AK	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,7:10	Day1,7:35	Day1,8:20	o13	D5
23	AK	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,7:10	Day1,7:35	Day1,8:20	o13	D5
16	AH	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,7:10	Day1,7:35	Day1,8:20	o13	D5
37	AH	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,7:10	Day1,7:35	Day1,8:20	o13	D5
14	AU	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,7:15	Day1,7:55	Day1,8:40	o14	D6
40	AU	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,7:15	Day1,7:55	Day1,8:40	o14	D6
3	AD	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,7:15	Day1,7:55	Day1,8:40	o14	D6
29	AS	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,7:15	Day1,7:55	Day1,8:40	o14	D6
17	BF	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,7:35	Day1,8:0	Day1,8:50	o15	D1
39	BF	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,7:35	Day1,8:0	Day1,8:50	o15	D1
35	BE	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,7:35	Day1,8:0	Day1,8:50	o15	D1
43	AM	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,8:0	Day1,8:10	Day1,9:0	o16	D4
45	AV	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	2	Day1,8:10	Day1,8:20	Day1,9:10	o17	D2
9	AI	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,7:55	Day1,8:20	Day1,9:20	o18	D3
48	AL	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,7:55	Day1,8:20	Day1,9:20	o18	D3
47	BC	i2	1	Day1,4:52	R1	Day1,5:37	Day1,6:0	1	1	Day1,8:20	Day1,8:30	Day1,9:30	o19	D5
12	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
13	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
46	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
49	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
51	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
55	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
62	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
72	AV	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
17	AZ	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
73	AZ	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:33	Day1,8:58	Day1,9:43	o20	D7
15	AW	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
24	AW	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
25	AW	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
39	AW	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
43	AW	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
70	AW	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
10	AF	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
27	AF	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
36	AF	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
58	AF	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
23	AB	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
45	AB	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
77	AB	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,8:40	Day1,9:20	Day1,10:5	o21	D6
56	AP	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
57	AP	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
61	AP	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
63	AP	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
67	AP	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
1	AJ	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
8	AJ	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
66	AJ	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
69	AJ	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
7	BG	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
21	BG	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
74	BG	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
14	AA	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
16	AA	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
64	AA	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
22	AN	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
35	AN	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,8:58	Day1,10:8	Day1,10:53	o22	D1
29	AH	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
76	AH	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
24	AH	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
25	AH	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
16	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
20	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
22	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
27	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
28	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
36	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
49	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
58	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
64	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
67	AH	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
2	AK	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
18	AK	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
75	AK	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
4	AK	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
29	AK	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
5	AK	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
9	AK	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
25	AK	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
31	AK	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
41	AK	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
51	AK	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:16	Day1,10:41	Day1,11:26	o23	D2
26	AW	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
1	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
26	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
37	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
38	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
44	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
47	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
52	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
53	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
57	AW	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
3	AF	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
11	AF	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
35	AF	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
40	AF	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
44	AY	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
48	AY	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
50	AY	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
22	AY	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:16	Day1,10:56	Day1,11:41	o24	D3
3	AP	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
4	AP	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
23	AP	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
34	AP	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
39	AP	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
63	AP	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
70	AP	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
5	AA	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
16	AA	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
21	AA	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
23	AA	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
7	BG	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
17	BG	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
2	BG	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
43	BG	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
28	AJ	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
30	AJ	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
56	AJ	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
61	AJ	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
19	AN	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	2	Day1,10:56	Day1,12:6	Day1,12:51	o25	D1
6	AD	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
53	AD	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
8	AD	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
10	AD	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
18	AD	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
27	AD	i3	1	Day1,5:49	R2	Day1,8:43	Day1,8:57	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
8	AD	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
18	AD	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
45	AD	i6	1	Day1,9:0	R1	Day1,9:45	Day1,10:16	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
3	AS	i4	1	Day1,7:12	R1	Day1,7:57	Day1,8:33	1	1	Day1,10:41	Day1,12:6	Day1,13:1	o26	D4
