outbound Train No	Day No	PullBack engine No	Starting time of pullback job	ending time of pullback job	departure time at departure area	Departure track No	Number of blocks	number of railcars	destination of blocks(associated number of cars)
o76	2	2	Day1,23:4	Day2,0:29	Day2,1:14	1	6	10	BB(3);AD(2);AF(2);BA(1);AU(1);AB(1);
o77	2	1	Day1,23:44	Day2,0:39	Day2,1:24	3	4	7	AN(2);BE(2);AP(2);BC(1);
o78	2	1	Day2,0:39	Day2,0:49	Day2,1:34	4	1	2	AI(2);
o79	2	1	Day2,0:49	Day2,0:59	Day2,1:44	5	1	2	BG(2);
o80	2	2	Day2,0:29	Day2,1:9	Day2,1:54	2	3	6	AW(2);AR(2);AY(2);
o81	2	2	Day2,1:9	Day2,1:19	Day2,2:4	7	1	1	AM(1);
o82	2	1	Day2,0:59	Day2,1:24	Day2,2:14	6	2	2	AQ(1);BD(1);
o83	2	2	Day2,1:19	Day2,1:29	Day2,2:24	1	1	1	AT(1);
o84	2	1	Day2,1:24	Day2,2:4	Day2,2:49	3	3	12	AH(6);AE(3);AK(3);
o85	2	2	Day2,1:34	Day2,2:14	Day2,2:59	4	3	13	AW(5);AF(4);AY(4);
o86	2	1	Day2,2:4	Day2,3:14	Day2,3:59	2	5	12	AS(5);BB(3);AU(2);AB(1);AD(1);
o87	2	1	Day2,3:15	Day2,3:40	Day2,4:25	1	2	30	AP(19);AN(11);
o88	2	2	Day2,3:15	Day2,3:40	Day2,4:35	5	2	38	AK(22);AH(16);
o89	2	1	Day2,3:40	Day2,4:5	Day2,4:50	3	2	28	AW(16);AR(12);
o90	2	2	Day2,3:40	Day2,4:20	Day2,5:5	4	3	26	AX(14);AC(9);AG(3);
o91	2	1	Day2,4:5	Day2,4:30	Day2,5:15	2	2	19	AV(14);AZ(5);
o92	2	1	Day2,4:30	Day2,4:55	Day2,5:40	1	2	12	AQ(9);BD(3);
o93	2	2	Day2,4:20	Day2,5:0	Day2,5:50	6	3	23	AJ(10);BG(9);AA(4);
o94	2	2	Day2,5:0	Day2,5:10	Day2,6:0	5	1	8	AY(8);
o95	2	2	Day2,5:10	Day2,5:20	Day2,6:10	4	1	6	AM(6);
o96	2	2	Day2,5:20	Day2,5:45	Day2,6:30	2	2	11	BE(6);BF(5);
o97	2	1	Day2,4:55	Day2,5:50	Day2,6:40	3	4	29	AD(8);AF(7);AU(7);AB(7);
o98	2	1	Day2,5:50	Day2,6:0	Day2,6:50	6	1	5	AE(5);
o99	2	1	Day2,6:0	Day2,6:10	Day2,7:0	5	1	5	AO(5);
o100	2	2	Day2,5:45	Day2,6:25	Day2,7:10	1	3	12	BB(5);AS(4);BA(3);
o101	2	1	Day2,6:10	Day2,6:35	Day2,7:20	4	2	6	AI(3);AL(3);
o102	2	2	Day2,6:25	Day2,6:35	Day2,7:30	7	1	3	BC(3);
o103	2	1	Day2,6:35	Day2,6:45	Day2,7:40	2	1	2	AT(2);
o104	2	2	Day2,6:40	Day2,7:5	Day2,7:50	3	2	11	AV(9);AZ(2);
o105	2	1	Day2,6:50	Day2,7:30	Day2,8:15	6	3	13	AW(7);AR(4);AY(2);
o106	2	2	Day2,7:5	Day2,7:45	Day2,8:30	5	3	14	AK(7);AH(4);AT(3);
o107	2	2	Day2,7:45	Day2,7:55	Day2,8:40	2	1	31	AW(31);
o108	2	2	Day2,7:55	Day2,8:5	Day2,8:50	3	1	28	AP(28);
o109	2	2	Day2,8:5	Day2,8:15	Day2,9:0	4	1	25	AH(25);
o110	2	1	Day2,7:30	Day2,8:40	Day2,9:25	1	5	14	BG(5);AJ(4);AP(2);AN(2);AA(1);
o111	2	2	Day2,8:15	Day2,8:40	Day2,9:35	6	2	33	AF(18);AB(15);
o112	2	1	Day2,8:40	Day2,9:5	Day2,9:50	2	2	30	AN(17);BG(13);
o113	2	2	Day2,8:40	Day2,9:5	Day2,10:0	5	2	25	AR(15);AY(10);
o114	2	1	Day2,9:5	Day2,9:30	Day2,10:15	3	2	27	AX(15);AC(12);
o115	2	2	Day2,9:5	Day2,9:30	Day2,10:25	4	2	25	AK(15);AE(10);
o116	2	1	Day2,9:30	Day2,9:55	Day2,10:40	1	2	25	BB(13);AD(12);
o117	2	2	Day2,9:30	Day2,9:55	Day2,10:50	7	2	15	BF(11);BE(4);
o118	2	1	Day2,9:55	Day2,10:20	Day2,11:5	2	2	14	AQ(11);BD(3);
o119	2	2	Day2,9:55	Day2,10:35	Day2,11:20	6	3	26	AA(10);AJ(9);BC(7);
o120	2	1	Day2,10:20	Day2,10:45	Day2,11:30	3	2	12	AV(9);AZ(3);
o121	2	1	Day2,10:45	Day2,11:10	Day2,11:55	1	2	11	AL(8);AI(3);
o122	2	2	Day2,10:35	Day2,11:15	Day2,12:5	4	3	16	AU(8);AS(5);BA(3);
o123	2	1	Day2,11:10	Day2,11:20	Day2,12:15	2	1	7	AM(7);
o124	2	2	Day2,11:15	Day2,11:25	Day2,12:25	5	1	6	AO(6);
o125	2	1	Day2,11:20	Day2,11:30	Day2,12:35	6	1	6	AG(6);
o126	2	2	Day2,11:25	Day2,11:35	Day2,12:45	7	1	6	AT(6);
o127	2	1	Day2,12:47	Day2,13:27	Day2,14:12	3	3	19	AH(11);AK(6);AE(2);
o128	2	1	Day2,13:27	Day2,14:7	Day2,14:52	2	3	15	AR(7);AW(5);AY(3);
o129	2	2	Day2,12:47	Day2,14:12	Day2,15:2	1	6	26	AD(10);AB(6);AU(4);BB(2);AS(2);AF(2);
o130	2	2	Day2,14:33	Day2,14:58	Day2,15:43	3	2	34	AW(19);AY(15);
o131	2	1	Day2,14:7	Day2,15:17	Day2,16:2	4	5	19	AN(6);AP(5);BG(4);AA(3);AJ(1);
o132	2	2	Day2,14:58	Day2,15:23	Day2,16:12	2	2	20	AV(18);AZ(2);
o133	2	2	Day2,15:23	Day2,15:33	Day2,16:22	5	1	12	AR(12);
o134	2	1	Day2,15:17	Day2,15:42	Day2,16:32	1	2	17	AX(13);AC(4);
o135	2	2	Day2,15:33	Day2,16:13	Day2,16:58	6	3	29	AH(12);AK(12);AE(5);
o136	2	1	Day2,15:42	Day2,16:37	Day2,17:22	7	4	28	AN(12);BC(6);AP(6);AJ(4);
o137	2	1	Day2,16:37	Day2,17:2	Day2,17:47	1	2	11	BF(9);BE(2);
o138	2	2	Day2,16:13	Day2,17:8	Day2,17:57	2	4	25	AF(9);BB(6);AS(5);AB(5);
o139	2	2	Day2,17:8	Day2,17:18	Day2,18:7	4	1	5	AM(5);
o140	2	1	Day2,17:2	Day2,17:27	Day2,18:17	3	2	7	BG(6);AA(1);
o141	2	2	Day2,17:18	Day2,17:43	Day2,18:28	5	2	7	BD(5);AQ(2);
o142	2	1	Day2,17:27	Day2,17:52	Day2,18:38	6	2	6	AL(4);AI(2);
o143	2	2	Day2,17:43	Day2,17:53	Day2,18:48	7	1	3	AT(3);
o144	2	2	Day2,17:57	Day2,18:7	Day2,18:58	2	1	2	AO(2);
o145	2	1	Day2,17:52	Day2,18:32	Day2,19:17	1	3	5	AU(3);AD(1);BA(1);
o146	2	2	Day2,18:7	Day2,18:47	Day2,19:32	4	3	18	AH(9);AE(5);AK(4);
o147	2	1	Day2,18:32	Day2,19:12	Day2,19:57	3	3	12	AW(7);AF(4);AB(1);
o148	2	2	Day2,18:47	Day2,19:27	Day2,20:12	5	3	7	AX(5);AC(1);AG(1);
o149	2	1	Day2,19:12	Day2,20:7	Day2,20:52	2	4	11	AN(3);AJ(3);AP(3);BG(2);
o150	2	2	Day2,19:27	Day2,20:22	Day2,21:7	1	4	9	BB(3);AU(3);AD(2);BA(1);
o151	2	1	Day2,20:7	Day2,20:32	Day2,21:17	3	2	3	AQ(2);BD(1);
o152	2	1	Day2,20:32	Day2,20:42	Day2,21:27	5	1	1	AO(1);
o153	2	2	Day2,20:22	Day2,20:47	Day2,21:37	4	2	4	AV(2);AZ(2);
o154	2	1	Day2,20:42	Day2,21:7	Day2,21:52	6	2	2	BE(1);BF(1);
o155	2	1	Day2,21:29	Day2,21:39	Day2,22:24	1	1	29	AW(29);
o156	2	2	Day2,21:29	Day2,21:39	Day2,22:34	2	1	33	AH(33);
o157	2	1	Day2,21:39	Day2,21:49	Day2,22:44	3	1	27	AP(27);
o158	2	2	Day2,21:39	Day2,22:4	Day2,22:54	4	2	39	AY(23);AR(16);
o159	3	1	Day2,21:49	Day2,22:14	Day2,23:4	5	2	37	AK(19);AE(18);
o160	3	2	Day2,22:4	Day2,22:29	Day2,23:14	6	2	33	BG(18);AN(15);
o161	3	1	Day2,22:14	Day2,22:39	Day2,23:24	7	2	19	AV(17);AZ(2);
o162	3	2	Day2,22:29	Day2,22:54	Day2,23:39	1	2	32	AX(17);AC(15);
o163	3	1	Day2,22:39	Day2,23:4	Day2,23:49	2	2	26	AD(14);AB(12);
o164	3	2	Day2,22:54	Day2,23:34	Day3,0:19	3	3	26	AF(12);AU(7);BB(7);
o165	3	1	Day2,23:4	Day2,23:44	Day3,0:29	4	3	29	BE(12);AJ(9);AA(8);
o166	3	2	Day2,23:34	Day2,23:44	Day3,0:39	5	1	11	AM(11);
o167	3	1	Day2,23:44	Day2,23:54	Day3,0:49	1	1	9	BF(9);
o168	3	1	Day2,23:54	Day3,0:4	Day3,0:59	2	1	6	AT(6);
o169	3	2	Day2,23:44	Day3,0:9	Day3,1:9	6	2	10	AL(6);AI(4);
o170	3	1	Day3,0:4	Day3,0:14	Day3,1:19	7	1	6	BC(6);
o171	3	1	Day3,0:29	Day3,0:39	Day3,1:29	4	1	4	AG(4);
o172	3	2	Day3,0:19	Day3,0:44	Day3,1:39	3	2	6	AQ(5);BD(1);
o173	3	1	Day3,0:39	Day3,0:49	Day3,1:49	5	1	4	AO(4);
o174	3	2	Day3,0:49	Day3,1:14	Day3,1:59	1	2	7	AS(4);BA(3);
o175	3	1	Day3,0:59	Day3,1:39	Day3,2:24	2	3	8	AH(5);AK(2);AT(1);
o176	3	1	Day3,1:39	Day3,1:49	Day3,2:34	4	1	29	AH(29);
o177	3	1	Day3,1:49	Day3,2:14	Day3,2:59	3	2	40	AP(23);AJ(17);
o178	3	2	Day3,1:14	Day3,2:24	Day3,3:9	6	5	10	AJ(4);BE(2);AN(2);AP(1);BC(1);
o179	3	1	Day3,2:14	Day3,2:39	Day3,3:24	1	2	33	AX(23);AC(10);
o180	3	2	Day3,2:24	Day3,2:49	Day3,3:34	2	2	38	AD(19);AF(19);
o181	3	1	Day3,2:39	Day3,3:4	Day3,3:49	4	2	26	AV(19);AZ(7);
o182	3	2	Day3,2:49	Day3,3:14	Day3,3:59	5	2	32	AW(18);AR(14);
o183	3	1	Day3,3:4	Day3,3:29	Day3,4:14	3	2	28	AK(16);AE(12);
o184	3	2	Day3,3:14	Day3,3:39	Day3,4:24	6	2	24	BF(16);BE(8);
o185	3	1	Day3,3:29	Day3,3:54	Day3,4:39	1	2	26	AN(15);BG(11);
o186	3	1	Day3,3:54	Day3,4:4	Day3,4:49	4	1	11	AT(11);
o187	3	1	Day3,4:4	Day3,4:14	Day3,4:59	5	1	10	AY(10);
o188	3	1	Day3,4:14	Day3,4:24	Day3,5:9	3	1	8	AM(8);
o189	3	2	Day3,3:39	Day3,4:34	Day3,5:19	2	4	28	BB(12);AU(8);AS(4);BA(4);
o190	3	2	Day3,4:34	Day3,4:44	Day3,5:29	7	1	6	AG(6);
o191	3	1	Day3,4:24	Day3,4:49	Day3,5:39	6	2	11	AA(8);BC(3);
o192	3	2	Day3,4:44	Day3,5:9	Day3,5:54	1	2	9	AQ(5);BD(4);
o193	3	1	Day3,4:49	Day3,5:14	Day3,6:4	4	2	6	AI(4);AL(2);
o194	3	2	Day3,5:9	Day3,5:19	Day3,6:14	5	1	4	AO(4);
o195	3	1	Day3,5:14	Day3,5:24	Day3,6:24	3	1	3	AB(3);
o196	3	2	Day3,5:19	Day3,5:59	Day3,6:44	2	3	9	AF(6);AW(2);AB(1);
o197	3	1	Day3,5:29	Day3,6:9	Day3,6:54	7	3	6	AC(4);AX(1);AG(1);
o198	3	2	Day3,5:59	Day3,6:39	Day3,7:24	1	3	6	AP(3);BE(2);BF(1);
o199	3	2	Day3,6:39	Day3,6:49	Day3,7:34	3	1	3	AV(3);
o200	3	1	Day3,6:9	Day3,6:49	Day3,7:44	4	3	7	AH(3);AK(2);AE(2);
o201	3	1	Day3,6:49	Day3,6:59	Day3,7:54	2	1	1	AT(1);
o202	3	2	Day3,6:49	Day3,6:59	Day3,8:4	5	1	1	AO(1);
o203	3	2	Day3,6:59	Day3,7:9	Day3,8:14	7	1	1	BD(1);
o204	3	1	Day3,6:59	Day3,7:24	Day3,8:24	6	2	2	BB(1);AU(1);
o205	3	1	Day3,7:34	Day3,7:44	Day3,8:34	3	1	1	AR(1);
o206	3	2	Day3,7:24	Day3,7:49	Day3,8:44	1	2	2	AJ(1);AN(1);
o207	3	1	Day3,7:44	Day3,7:54	Day3,8:54	4	1	1	AM(1);
o208	3	1	Day3,8:4	Day3,8:29	Day3,9:14	5	2	10	AY(6);AR(4);
o209	3	2	Day3,7:54	Day3,8:34	Day3,9:24	2	3	13	AW(6);AB(6);AF(1);
o210	3	1	Day3,8:29	Day3,8:54	Day3,9:39	6	2	7	AV(5);AZ(2);
o211	3	2	Day3,8:34	Day3,9:59	Day3,10:44	7	6	17	AN(4);BC(3);AP(3);AA(3);BE(3);AJ(1);
o212	3	1	Day3,10:4	Day3,10:29	Day3,11:14	1	2	29	AH(20);AE(9);
o213	3	2	Day3,10:4	Day3,10:44	Day3,11:29	2	3	23	AF(12);AW(8);AB(3);
o214	3	2	Day3,10:44	Day3,11:24	Day3,12:9	4	3	11	AX(7);AC(3);AG(1);
o215	3	1	Day3,10:29	Day3,11:39	Day3,12:24	3	5	24	BG(8);AP(7);AJ(3);AN(3);AA(3);
o216	3	1	Day3,11:39	Day3,11:49	Day3,12:34	2	1	6	AM(6);
o217	3	1	Day3,11:49	Day3,12:14	Day3,12:59	5	2	7	BE(4);BF(3);
o218	3	2	Day3,11:24	Day3,12:19	Day3,13:9	1	4	21	AD(7);AS(5);BB(5);AU(4);
o219	3	1	Day3,12:14	Day3,12:39	Day3,13:24	4	2	7	AT(4);AK(3);
o220	3	2	Day3,12:19	Day3,12:44	Day3,13:34	6	2	7	AR(4);AY(3);
o221	3	2	Day3,12:44	Day3,12:54	Day3,13:44	3	1	2	BC(2);
o222	3	1	Day3,12:39	Day3,13:4	Day3,13:54	2	2	4	AV(3);AZ(1);
o223	3	2	Day3,12:54	Day3,13:4	Day3,14:4	7	1	1	AQ(1);
o224	3	1	Day3,13:4	Day3,13:14	Day3,14:14	5	1	1	AO(1);
o225	3	2	Day3,13:9	Day3,13:49	Day3,14:34	1	3	12	AW(8);AF(2);AY(2);
o226	3	1	Day3,13:24	Day3,14:4	Day3,14:49	4	3	10	AH(6);AK(3);AE(1);
o227	3	1	Day3,14:4	Day3,14:14	Day3,14:59	2	1	31	AH(31);
o228	3	1	Day3,14:14	Day3,14:39	Day3,15:24	6	2	39	AW(22);AR(17);
o229	3	2	Day3,13:49	Day3,14:59	Day3,15:44	3	5	16	AP(4);AN(4);AA(4);BG(3);AJ(1);
o230	3	1	Day3,14:39	Day3,15:4	Day3,15:54	1	2	38	AP(20);AN(18);
o231	3	2	Day3,14:59	Day3,15:24	Day3,16:9	2	2	28	AV(23);AZ(5);
o232	3	1	Day3,15:4	Day3,15:29	Day3,16:19	4	2	40	AD(20);AF(20);
o233	3	2	Day3,15:24	Day3,15:49	Day3,16:34	5	2	32	AX(20);AC(12);
o234	3	1	Day3,15:29	Day3,15:54	Day3,16:44	6	2	32	AJ(19);BE(13);
o235	3	2	Day3,15:49	Day3,16:14	Day3,16:59	3	2	28	AK(16);AH(12);
o236	3	1	Day3,15:54	Day3,16:19	Day3,17:9	1	2	25	AB(14);AU(11);
o237	3	1	Day3,16:19	Day3,16:29	Day3,17:19	4	1	12	AE(12);
o238	3	1	Day3,16:29	Day3,16:39	Day3,17:29	7	1	12	BF(12);
o239	3	2	Day3,16:14	Day3,17:9	Day3,17:54	2	4	27	BG(12);AA(9);AP(3);AN(3);
o240	3	2	Day3,17:9	Day3,17:19	Day3,18:4	1	1	11	BC(11);
o241	3	1	Day3,16:39	Day3,17:19	Day3,18:14	5	3	20	AY(11);AW(6);AR(3);
o242	3	1	Day3,17:19	Day3,17:44	Day3,18:29	4	2	14	AQ(9);BD(5);
o243	3	1	Day3,17:44	Day3,17:54	Day3,18:39	6	1	8	AM(8);
o244	3	2	Day3,17:19	Day3,17:59	Day3,18:49	3	3	18	BB(10);AS(6);BA(2);
o245	3	1	Day3,17:54	Day3,18:4	Day3,18:59	2	1	7	AG(7);
o246	3	2	Day3,17:59	Day3,18:24	Day3,19:9	7	2	11	AL(7);AI(4);
o247	3	1	Day3,18:20	Day3,18:30	Day3,19:19	1	1	33	AW(33);
o248	3	2	Day3,18:24	Day3,18:34	Day3,19:29	5	1	28	AP(28);
o249	3	1	Day3,18:30	Day3,18:55	Day3,19:40	4	2	42	AJ(24);AN(18);
o250	3	2	Day3,18:39	Day3,19:4	Day3,19:50	6	2	41	AH(23);AK(18);
o251	3	1	Day3,18:55	Day3,19:20	Day3,20:5	3	2	23	AV(18);AZ(5);
o252	3	2	Day3,19:4	Day3,19:29	Day3,20:15	2	2	26	AR(14);AY(12);
o253	3	1	Day3,19:20	Day3,19:45	Day3,20:30	1	2	19	BF(14);BE(5);
o254	3	2	Day3,19:29	Day3,19:54	Day3,20:40	7	2	25	AB(13);AD(12);
o255	3	1	Day3,19:45	Day3,20:25	Day3,21:10	4	3	24	AX(12);AC(8);AG(4);
o256	3	2	Day3,19:54	Day3,20:34	Day3,21:20	5	3	29	BB(11);AF(9);AU(9);
o257	3	2	Day3,20:34	Day3,20:44	Day3,21:30	1	1	10	BG(10);
o258	3	1	Day3,20:25	Day3,20:50	Day3,21:40	2	2	17	BC(11);AA(6);
o259	3	1	Day3,20:50	Day3,21:0	Day3,21:50	6	1	8	AT(8);
o260	3	2	Day3,20:44	Day3,21:9	Day3,22:0	3	2	14	AQ(9);BD(5);
o261	3	1	Day3,21:0	Day3,21:10	Day3,22:10	7	1	7	AO(7);
o262	3	2	Day3,21:10	Day3,21:20	Day3,22:20	4	1	7	AE(7);
o263	3	2	Day3,21:30	Day3,21:40	Day3,22:30	1	1	6	AM(6);
o264	3	1	Day3,21:20	Day3,21:45	Day3,22:40	5	2	12	AS(7);BA(5);
o265	3	2	Day3,21:40	Day3,22:5	Day3,22:50	2	2	8	AL(6);AI(2);
o266	4	1	Day3,21:50	Day3,22:15	Day3,23:0	6	2	10	AX(8);AC(2);
o267	4	2	Day3,22:5	Day3,22:45	Day3,23:30	3	3	17	AK(8);AH(6);AE(3);
o268	4	2	Day3,22:45	Day3,22:55	Day3,23:40	1	1	5	BG(5);
o269	4	1	Day3,22:15	Day3,23:40	Day4,0:25	7	6	26	AJ(6);BC(5);AN(4);BE(4);AA(4);AP(3);
o270	4	1	Day3,23:40	Day3,23:50	Day4,0:35	1	1	4	BF(4);
o271	4	1	Day3,23:50	Day4,0:0	Day4,0:45	3	1	3	AV(3);
o272	4	2	Day3,22:55	Day4,0:20	Day4,1:5	2	6	14	AB(5);AD(3);BB(3);AS(1);AF(1);BA(1);
o273	4	1	Day4,0:0	Day4,0:40	Day4,1:25	4	3	7	AW(3);AY(2);AR(2);
o274	4	2	Day4,0:20	Day4,0:45	Day4,1:35	5	2	3	AQ(2);BD(1);
o275	4	1	Day4,0:40	Day4,0:50	Day4,1:45	1	1	1	AM(1);
o276	4	2	Day4,0:45	Day4,1:25	Day4,2:10	3	3	10	AH(5);AT(3);AK(2);
o277	4	1	Day4,0:50	Day4,2:15	Day4,3:0	6	6	18	AB(5);AD(4);AS(3);AF(3);AU(2);BA(1);
o278	4	2	Day4,1:25	Day4,2:35	Day4,3:20	2	5	17	AP(5);BG(4);AA(4);AN(2);AJ(2);
o279	4	1	Day4,2:15	Day4,2:40	Day4,3:30	1	2	6	AV(4);AZ(2);
o280	4	1	Day4,2:40	Day4,3:5	Day4,3:50	4	2	4	AC(3);AX(1);
o281	4	2	Day4,2:35	Day4,3:15	Day4,4:0	3	3	7	AY(4);AW(2);AR(1);
o282	4	1	Day4,3:5	Day4,3:15	Day4,4:10	5	1	2	AE(2);
