outbound Train No	Day No	PullBack engine No	Starting time of pullback job	ending time of pullback job	departure time at departure area	Departure track No	Number of blocks	number of railcars	destination of blocks(associated number of cars)
o43	2	1	Day2,2:34	Day2,3:29	Day2,4:14	2	4	28	AN(9);BG(8);AP(6);AJ(5);
o44	2	1	Day2,4:6	Day2,4:16	Day2,5:1	1	1	30	AK(30);
o45	2	2	Day2,3:6	Day2,4:16	Day2,5:11	3	5	26	AB(7);BB(6);AD(6);AS(5);AU(2);
o46	2	1	Day2,4:16	Day2,4:41	Day2,5:26	2	2	25	AR(14);AW(11);
o47	2	2	Day2,4:16	Day2,5:11	Day2,5:56	4	4	27	BG(8);AP(7);AJ(7);AA(5);
o48	2	1	Day2,4:41	Day2,5:51	Day2,6:36	5	5	28	AB(7);AF(6);AD(6);AU(5);BB(4);
o49	2	2	Day2,7:20	Day2,7:45	Day2,8:30	1	2	26	AH(17);AT(9);
o50	2	1	Day2,7:43	Day2,8:23	Day2,9:8	2	3	25	AY(12);AW(8);AR(5);
o51	2	2	Day2,7:45	Day2,8:40	Day2,9:25	3	4	25	BC(8);AN(8);AP(5);BE(4);
o52	2	1	Day2,9:2	Day2,9:12	Day2,9:57	1	1	25	AV(25);
o53	2	2	Day2,9:2	Day2,9:42	Day2,10:27	4	3	27	AY(10);AW(9);AF(8);
o54	2	1	Day2,9:12	Day2,9:52	Day2,10:37	2	3	25	AH(10);AE(8);AK(7);
o55	2	2	Day2,9:42	Day2,10:52	Day2,11:37	3	5	25	AS(7);AB(6);BB(6);AD(4);AU(2);
o56	2	1	Day2,11:40	Day2,12:5	Day2,12:50	1	2	31	AX(23);AC(8);
o57	2	2	Day2,11:40	Day2,12:5	Day2,13:0	2	2	26	BF(17);AP(9);
o58	2	1	Day2,12:5	Day2,12:30	Day2,13:15	3	2	25	AN(15);BG(10);
o59	2	2	Day2,12:5	Day2,12:30	Day2,13:25	4	2	27	AW(14);AR(13);
o60	2	1	Day2,13:8	Day2,13:18	Day2,14:3	1	1	26	AH(26);
o61	2	2	Day2,13:8	Day2,13:33	Day2,14:18	2	2	29	AL(19);AI(10);
o62	2	1	Day2,13:18	Day2,13:58	Day2,14:43	3	3	31	AY(16);AW(8);AR(7);
o63	2	2	Day2,13:33	Day2,13:58	Day2,14:53	4	2	27	AD(15);AB(12);
o64	2	1	Day2,13:58	Day2,14:23	Day2,15:8	5	2	27	AK(15);AE(12);
o65	2	2	Day2,13:58	Day2,14:38	Day2,15:23	6	3	27	AP(11);AJ(9);BG(7);
o66	2	2	Day2,14:38	Day2,15:3	Day2,15:48	2	2	31	AV(21);AZ(10);
o67	2	1	Day2,14:23	Day2,15:18	Day2,16:3	1	4	25	AU(8);AF(7);BB(6);BA(4);
o68	2	2	Day2,15:27	Day2,15:52	Day2,16:37	3	2	28	AX(19);AC(9);
o69	2	1	Day2,15:27	Day2,16:7	Day2,16:52	4	3	33	AN(14);AA(10);BC(9);
o70	2	2	Day2,15:52	Day2,16:17	Day2,17:2	2	2	25	AH(13);AK(12);
o71	2	2	Day2,17:17	Day2,17:27	Day2,18:12	3	1	25	AO(25);
o72	2	1	Day2,16:7	Day2,17:32	Day2,18:22	1	6	27	AF(6);AU(5);AD(5);AS(5);BB(3);AB(3);
o73	2	2	Day2,17:27	Day2,17:52	Day2,18:37	2	2	33	AW(21);AR(12);
o74	2	1	Day2,17:32	Day2,17:57	Day2,18:47	4	2	28	AP(15);BE(13);
o75	2	2	Day2,19:42	Day2,20:22	Day2,21:7	1	3	28	AJ(12);BG(12);AN(4);
o76	2	1	Day2,19:42	Day2,20:22	Day2,21:17	3	3	27	AH(11);AE(9);AK(7);
o77	2	1	Day2,20:22	Day2,21:47	Day2,22:32	2	6	25	AF(6);AD(6);BA(4);AU(3);AB(3);BB(3);
o78	3	2	Day2,22:36	Day2,23:1	Day2,23:46	1	2	28	BF(18);AP(10);
o79	3	1	Day2,22:36	Day2,23:1	Day2,23:56	2	2	26	AQ(17);BD(9);
o80	3	1	Day2,23:1	Day2,23:41	Day3,0:26	3	3	26	AT(12);AH(8);AK(6);
o81	3	2	Day2,23:1	Day2,23:41	Day3,0:36	4	3	29	AC(11);AX(9);AG(9);
o82	3	1	Day3,0:27	Day3,0:37	Day3,1:22	1	1	26	AM(26);
o83	3	2	Day3,0:27	Day3,0:52	Day3,1:37	2	2	29	AV(24);AZ(5);
o84	3	1	Day3,0:37	Day3,1:2	Day3,1:47	3	2	45	AY(24);AW(21);
o85	3	2	Day3,0:52	Day3,1:17	Day3,2:2	4	2	36	AH(23);AE(13);
o86	3	1	Day3,1:2	Day3,1:27	Day3,2:12	5	2	25	AF(14);AD(11);
o87	3	2	Day3,1:17	Day3,1:42	Day3,2:27	6	2	25	AJ(13);AN(12);
o88	3	1	Day3,1:27	Day3,2:7	Day3,2:52	1	3	28	AP(12);BG(9);AA(7);
o89	3	2	Day3,2:0	Day3,2:25	Day3,3:10	2	2	25	AX(17);AC(8);
o90	3	1	Day3,2:7	Day3,2:47	Day3,3:32	3	3	34	BE(13);AP(11);BF(10);
o91	3	2	Day3,2:25	Day3,3:5	Day3,3:50	4	3	31	AF(12);BB(11);AU(8);
o92	3	1	Day3,2:47	Day3,3:27	Day3,4:12	5	3	31	AT(11);AK(11);AH(9);
o93	3	2	Day3,3:6	Day3,3:31	Day3,4:22	1	2	35	AR(22);AW(13);
o94	3	1	Day3,3:27	Day3,4:7	Day3,4:52	2	3	31	AN(13);BC(10);AJ(8);
o95	3	2	Day3,3:31	Day3,4:11	Day3,5:2	6	3	29	AB(13);AD(10);AS(6);
o96	3	1	Day3,5:33	Day3,5:58	Day3,6:43	1	2	32	AH(18);AE(14);
o97	3	2	Day3,5:33	Day3,6:13	Day3,6:58	3	3	33	BG(14);AP(10);AA(9);
o98	3	1	Day3,5:58	Day3,6:53	Day3,7:38	2	4	25	AU(7);AF(7);BB(6);AD(5);
o99	3	2	Day3,8:46	Day3,9:26	Day3,10:11	1	3	25	AX(10);AG(9);AC(6);
o100	3	1	Day3,8:46	Day3,9:41	Day3,10:26	3	4	27	BE(9);AJ(8);AP(5);AN(5);
o101	3	2	Day3,10:4	Day3,10:29	Day3,11:14	2	2	25	AV(19);AZ(6);
o102	3	1	Day3,10:4	Day3,10:29	Day3,11:24	4	2	30	AH(16);AK(14);
o103	3	1	Day3,10:29	Day3,10:54	Day3,11:39	1	2	25	AW(13);AY(12);
o104	3	2	Day3,10:29	Day3,11:24	Day3,12:9	3	4	28	AF(8);AB(8);AD(6);AS(6);
o105	3	1	Day3,11:14	Day3,11:54	Day3,12:39	2	3	26	AW(11);AR(11);AY(4);
o106	3	2	Day3,11:24	Day3,12:19	Day3,13:4	4	4	27	AA(8);BG(7);AJ(7);AN(5);
o107	3	1	Day3,11:54	Day3,12:49	Day3,13:34	1	4	25	AU(7);BB(7);AB(6);AF(5);
o108	3	2	Day3,12:52	Day3,13:17	Day3,14:2	2	2	35	AH(24);AT(11);
o109	3	1	Day3,12:52	Day3,13:17	Day3,14:12	3	2	27	AX(19);AC(8);
o110	3	1	Day3,13:17	Day3,13:42	Day3,14:27	4	2	29	AP(18);AN(11);
o111	3	1	Day3,13:42	Day3,14:7	Day3,14:52	1	2	28	AW(17);AR(11);
o112	3	2	Day3,13:17	Day3,14:27	Day3,15:12	5	5	25	AF(9);AD(5);AB(4);BA(4);AS(3);
o113	3	1	Day3,14:7	Day3,14:32	Day3,15:22	2	2	25	BF(14);BE(11);
o114	3	2	Day3,14:27	Day3,15:7	Day3,15:52	3	3	29	AK(12);AE(11);AH(6);
o115	3	1	Day3,14:32	Day3,15:12	Day3,16:2	4	3	27	BC(11);AJ(11);AN(5);
o116	3	2	Day3,15:49	Day3,15:59	Day3,16:44	1	1	32	AV(32);
o117	3	1	Day3,15:49	Day3,15:59	Day3,16:54	2	1	27	AH(27);
o118	3	1	Day3,15:59	Day3,16:24	Day3,17:9	3	2	30	AP(18);AJ(12);
o119	3	2	Day3,15:59	Day3,16:24	Day3,17:19	5	2	25	AQ(16);BD(9);
o120	3	1	Day3,16:24	Day3,16:49	Day3,17:34	4	2	27	AD(14);AF(13);
o121	3	2	Day3,16:24	Day3,16:49	Day3,17:44	6	2	27	AW(14);AY(13);
o122	3	1	Day3,16:49	Day3,17:29	Day3,18:14	1	3	28	BG(11);AA(9);AN(8);
o123	3	2	Day3,16:49	Day3,17:44	Day3,18:29	7	4	27	BB(11);AB(8);AU(5);AS(3);
o124	3	1	Day3,18:26	Day3,18:36	Day3,19:21	2	1	25	AW(25);
o125	3	2	Day3,18:26	Day3,18:51	Day3,19:36	3	2	39	AP(21);BF(18);
o126	3	1	Day3,18:36	Day3,19:1	Day3,19:46	1	2	37	AK(21);AH(16);
o127	3	2	Day3,18:51	Day3,19:16	Day3,20:1	4	2	27	AR(18);AY(9);
o128	3	1	Day3,19:1	Day3,19:26	Day3,20:11	5	2	31	AJ(17);AN(14);
o129	3	2	Day3,19:16	Day3,19:41	Day3,20:26	6	2	31	AL(17);AI(14);
o130	3	1	Day3,19:26	Day3,19:51	Day3,20:36	2	2	29	AX(16);AC(13);
o131	3	2	Day3,19:41	Day3,20:21	Day3,21:6	3	3	28	BC(13);BE(10);AA(5);
o132	3	1	Day3,19:51	Day3,20:31	Day3,21:16	1	3	26	AD(10);AB(8);AU(8);
o133	3	1	Day3,20:31	Day3,20:41	Day3,21:26	5	1	25	AM(25);
o134	3	1	Day3,20:41	Day3,21:6	Day3,21:51	2	2	35	AE(20);AH(15);
o135	3	2	Day3,20:21	Day3,21:16	Day3,22:1	4	4	28	BB(8);AF(7);AS(7);BA(6);
o136	3	1	Day3,21:6	Day3,21:31	Day3,22:16	3	2	32	AV(20);AZ(12);
o137	3	2	Day3,21:16	Day3,21:41	Day3,22:26	1	2	28	BG(17);AJ(11);
o138	3	1	Day3,21:31	Day3,22:11	Day3,22:56	5	3	30	AX(13);AG(11);AC(6);
o139	4	2	Day3,21:41	Day3,22:21	Day3,23:6	6	3	28	AD(11);AB(11);AS(6);
o140	4	1	Day3,22:11	Day3,22:51	Day3,23:36	2	3	28	AP(10);AN(9);AA(9);
o141	4	2	Day3,22:42	Day3,22:52	Day3,23:46	1	1	30	AK(30);
o142	4	1	Day3,22:51	Day3,23:16	Day4,0:1	3	2	40	AW(20);AF(20);
o143	4	2	Day3,22:52	Day3,23:17	Day4,0:11	4	2	26	AQ(18);BD(8);
o144	4	1	Day3,23:16	Day3,23:41	Day4,0:26	5	2	27	AP(16);BF(11);
o145	4	2	Day3,23:17	Day3,23:42	Day4,0:36	6	2	28	AY(14);AR(14);
o146	4	1	Day3,23:41	Day4,0:21	Day4,1:6	2	3	27	AD(13);AU(9);BB(5);
o147	4	2	Day3,23:42	Day4,0:22	Day4,1:16	7	3	28	AJ(11);BE(11);AN(6);
o148	4	1	Day4,3:26	Day4,3:51	Day4,4:36	1	2	33	AH(21);AT(12);
o149	4	2	Day4,3:26	Day4,4:6	Day4,4:51	3	3	30	AX(17);AG(7);AC(6);
o150	4	1	Day4,5:28	Day4,5:53	Day4,6:38	1	2	28	AW(19);AB(9);
o151	4	2	Day4,5:28	Day4,6:8	Day4,6:53	2	3	29	BG(12);AP(10);AN(7);
o152	4	1	Day4,7:30	Day4,7:40	Day4,8:25	1	1	27	AV(27);
o153	4	2	Day4,7:30	Day4,8:10	Day4,8:55	3	3	30	AY(13);AR(10);AW(7);
o154	4	1	Day4,7:40	Day4,8:20	Day4,9:5	2	3	32	AE(12);AH(10);AK(10);
o155	4	1	Day4,8:20	Day4,9:0	Day4,9:45	5	3	25	BC(9);AJ(9);BE(7);
o156	4	2	Day4,8:10	Day4,9:5	Day4,9:55	4	4	29	AD(10);BB(7);AU(6);AF(6);
o157	4	1	Day4,9:45	Day4,10:10	Day4,10:55	1	2	30	AH(21);AE(9);
o158	4	2	Day4,9:45	Day4,10:10	Day4,11:5	2	2	31	AW(17);AR(14);
o159	4	1	Day4,10:10	Day4,10:35	Day4,11:20	3	2	28	BG(15);AN(13);
o160	4	2	Day4,10:10	Day4,10:50	Day4,11:35	4	3	25	AX(13);AC(10);AG(2);
o161	4	1	Day4,10:35	Day4,11:15	Day4,12:0	5	3	27	AP(12);AJ(10);BE(5);
o162	4	2	Day4,10:50	Day4,11:30	Day4,12:15	6	3	30	AF(10);AD(10);BA(10);
o163	4	2	Day4,11:56	Day4,12:6	Day4,12:51	2	1	26	AV(26);
o164	4	1	Day4,11:15	Day4,12:10	Day4,13:1	1	4	28	AS(8);AB(8);AU(7);BB(5);
o165	4	2	Day4,12:6	Day4,12:31	Day4,13:16	3	2	40	AY(22);AW(18);
o166	4	1	Day4,12:10	Day4,12:35	Day4,13:26	4	2	32	AH(18);AK(14);
o167	4	2	Day4,12:31	Day4,12:56	Day4,13:41	5	2	31	AP(16);BF(15);
o168	4	1	Day4,12:35	Day4,13:15	Day4,14:0	6	3	29	BG(10);AJ(10);AN(9);
o169	4	2	Day4,12:56	Day4,13:51	Day4,14:36	2	4	27	AB(9);AF(8);AU(7);BB(3);
o170	4	1	Day4,13:40	Day4,14:50	Day4,15:35	1	5	27	AA(9);BC(6);BE(5);AP(4);AN(3);
o171	4	2	Day4,13:51	Day4,15:16	Day4,16:1	3	6	25	AD(6);AS(6);BA(4);BB(3);AB(3);AU(3);
o172	4	1	Day4,15:14	Day4,15:54	Day4,16:39	2	3	28	AT(17);AK(6);AH(5);
o173	4	2	Day4,15:16	Day4,15:56	Day4,16:49	4	3	31	AW(12);AR(12);AY(7);
o174	4	1	Day4,16:9	Day4,16:34	Day4,17:19	1	2	25	AF(15);AW(10);
o175	4	2	Day4,16:9	Day4,16:34	Day4,17:29	3	2	28	AX(14);AC(14);
o176	4	1	Day4,16:34	Day4,17:14	Day4,17:59	5	3	28	AP(13);AJ(8);BG(7);
o177	4	2	Day4,16:34	Day4,17:44	Day4,18:29	6	5	25	BB(10);AD(7);AU(4);AS(3);BA(1);
o178	4	1	Day4,17:21	Day4,17:46	Day4,18:39	1	2	25	AQ(14);BD(11);
o179	4	2	Day4,17:44	Day4,18:24	Day4,19:9	2	3	30	AR(12);AW(11);AY(7);
o180	4	1	Day4,17:46	Day4,18:26	Day4,19:19	3	3	28	AH(11);AK(9);AE(8);
o181	4	2	Day4,18:24	Day4,19:19	Day4,20:4	4	4	27	AN(11);AA(6);AP(5);AJ(5);
o182	4	2	Day4,20:16	Day4,20:41	Day4,21:26	2	2	28	AV(14);AZ(14);
o183	4	1	Day4,20:16	Day4,20:56	Day4,21:41	1	3	30	AX(14);AG(9);AC(7);
o184	4	2	Day4,20:41	Day4,21:21	Day4,22:6	3	3	26	AW(12);AF(10);AB(4);
o185	4	1	Day4,20:56	Day4,21:51	Day4,22:36	4	4	26	AJ(8);BG(8);AP(6);AN(4);
o186	4	2	Day4,21:44	Day4,21:54	Day4,22:46	1	1	28	AM(28);
o187	5	1	Day4,21:51	Day4,22:16	Day4,23:1	2	2	38	AH(23);AK(15);
o188	5	2	Day4,21:54	Day4,22:19	Day4,23:11	5	2	26	AP(14);BE(12);
o189	5	1	Day4,22:16	Day4,23:11	Day4,23:56	3	4	30	AD(11);AS(7);AF(6);AU(6);
o190	5	2	Day4,22:19	Day4,23:14	Day5,0:6	6	4	28	BC(9);AA(8);AJ(7);AN(4);
o191	5	1	Day4,23:32	Day4,23:42	Day5,0:27	1	1	26	AO(26);
o192	5	2	Day4,23:32	Day4,23:57	Day5,0:42	2	2	31	AH(20);AK(11);
o193	5	1	Day4,23:42	Day5,0:7	Day5,0:52	4	2	38	AR(20);AW(18);
o194	5	2	Day4,23:57	Day5,0:22	Day5,1:7	3	2	28	AX(15);AC(13);
o195	5	1	Day5,0:7	Day5,0:32	Day5,1:17	5	2	26	BF(14);AP(12);
o196	5	2	Day5,0:22	Day5,1:2	Day5,1:47	6	3	26	BB(9);AB(9);AF(8);
o197	5	2	Day5,1:2	Day5,1:27	Day5,2:12	2	2	28	AY(15);AW(13);
o198	5	1	Day5,0:55	Day5,1:35	Day5,2:22	1	3	31	AE(15);AK(9);AH(7);
o199	5	2	Day5,1:27	Day5,2:7	Day5,2:52	3	3	31	AJ(12);BG(11);AN(8);
o200	5	1	Day5,1:35	Day5,2:30	Day5,3:15	4	4	28	AF(9);AD(8);AU(6);AS(5);
o201	5	2	Day5,2:34	Day5,2:44	Day5,3:29	1	1	26	AV(26);
o202	5	1	Day5,2:34	Day5,2:59	Day5,3:44	2	2	34	AP(19);BE(15);
o203	5	2	Day5,2:44	Day5,3:9	Day5,3:54	5	2	26	AX(16);AC(10);
o204	5	1	Day5,2:59	Day5,3:24	Day5,4:9	3	2	25	AI(13);AL(12);
o205	5	2	Day5,3:9	Day5,3:49	Day5,4:34	6	3	32	AT(12);AH(10);AK(10);
o206	5	1	Day5,3:24	Day5,4:19	Day5,5:4	4	4	25	AF(7);BB(7);AB(6);BA(5);
o207	5	2	Day5,4:51	Day5,5:16	Day5,6:1	1	2	29	AR(18);AY(11);
o208	5	1	Day5,4:51	Day5,5:31	Day5,6:16	2	3	27	BF(14);AP(9);BE(4);
o209	5	2	Day5,5:16	Day5,5:41	Day5,6:26	3	2	25	BG(13);AA(12);
o210	5	1	Day5,5:47	Day5,6:12	Day5,6:57	4	2	29	AW(19);AR(10);
o211	5	2	Day5,5:47	Day5,6:12	Day5,7:7	5	2	28	AH(16);AK(12);
o212	5	1	Day5,6:12	Day5,6:37	Day5,7:22	1	2	29	BD(16);AQ(13);
o213	5	2	Day5,6:12	Day5,6:52	Day5,7:37	6	3	32	AC(12);AX(10);AG(10);
o214	5	1	Day5,6:37	Day5,7:32	Day5,8:17	2	4	26	BC(9);AJ(7);AN(7);AA(3);
o215	5	2	Day5,7:15	Day5,7:40	Day5,8:27	3	2	26	AP(15);BG(11);
o216	5	1	Day5,7:32	Day5,7:57	Day5,8:42	1	2	25	AV(14);AZ(11);
o217	5	2	Day5,7:40	Day5,8:5	Day5,8:52	4	2	27	AD(14);AB(13);
o218	5	1	Day5,7:57	Day5,8:37	Day5,9:22	5	3	34	AY(12);AF(12);AW(10);
o219	5	1	Day5,8:37	Day5,9:2	Day5,9:47	2	2	37	AH(21);AE(16);
o220	5	2	Day5,8:5	Day5,9:15	Day5,10:0	6	5	25	AN(8);BC(5);AJ(5);AA(4);BE(3);
o221	5	1	Day5,9:2	Day5,9:42	Day5,10:27	1	3	26	AC(12);AX(11);AG(3);
o222	5	2	Day5,9:15	Day5,9:55	Day5,10:40	3	3	28	AU(11);AS(9);AD(8);
o223	5	2	Day5,10:17	Day5,10:42	Day5,11:27	2	2	39	AY(21);AW(18);
o224	5	1	Day5,9:42	Day5,10:52	Day5,11:37	4	5	25	AP(8);AJ(8);BE(4);AN(3);AA(2);
o225	5	2	Day5,10:42	Day5,11:7	Day5,11:52	1	2	29	AH(15);AK(14);
o226	5	1	Day5,10:52	Day5,11:17	Day5,12:2	3	2	27	BG(14);AN(13);
o227	5	2	Day5,11:7	Day5,11:47	Day5,12:32	5	3	30	AF(12);BB(11);AB(7);
o228	5	1	Day5,11:17	Day5,12:12	Day5,12:57	6	4	26	AJ(10);AA(7);AP(6);BE(3);
o229	5	2	Day5,11:47	Day5,12:12	Day5,13:7	2	2	31	AR(22);AW(9);
o230	5	1	Day5,12:12	Day5,12:52	Day5,13:37	1	3	27	AT(12);AK(10);AH(5);
o231	5	2	Day5,12:12	Day5,12:52	Day5,13:47	3	3	26	AD(10);AU(9);AS(7);
o232	5	1	Day5,13:14	Day5,13:24	Day5,14:9	2	1	33	AV(33);
o233	5	2	Day5,13:14	Day5,13:39	Day5,14:24	4	2	29	BF(19);AP(10);
o234	5	1	Day5,13:24	Day5,13:49	Day5,14:34	5	2	28	AE(18);AH(10);
o235	5	2	Day5,13:39	Day5,14:4	Day5,14:49	1	2	25	AX(17);AC(8);
o236	5	1	Day5,13:49	Day5,14:14	Day5,14:59	3	2	27	AN(17);AJ(10);
o237	5	2	Day5,14:4	Day5,14:29	Day5,15:14	6	2	30	AW(15);AF(15);
o238	5	1	Day5,14:52	Day5,15:17	Day5,16:2	2	2	29	AY(17);AR(12);
o239	5	2	Day5,14:52	Day5,15:17	Day5,16:12	4	2	27	AB(15);AW(12);
o240	5	1	Day5,15:17	Day5,15:42	Day5,16:27	1	2	28	AK(14);AH(14);
o241	5	2	Day5,15:17	Day5,15:57	Day5,16:42	3	3	30	BG(14);AP(8);AN(8);
o242	5	1	Day5,15:42	Day5,16:22	Day5,17:7	5	3	30	BE(11);BC(11);AJ(8);
o243	5	2	Day5,15:57	Day5,16:52	Day5,17:37	6	4	28	AD(8);BB(8);AF(6);BA(6);
o244	5	1	Day5,16:34	Day5,16:59	Day5,17:47	1	2	30	AQ(22);BD(8);
o245	5	2	Day5,16:52	Day5,17:17	Day5,18:2	2	2	25	AV(20);AZ(5);
o246	5	1	Day5,16:59	Day5,17:24	Day5,18:12	3	2	25	AH(17);AK(8);
o247	5	1	Day5,17:24	Day5,17:49	Day5,18:34	5	2	26	AL(14);AI(12);
o248	5	2	Day5,17:17	Day5,17:57	Day5,18:44	4	3	27	AW(15);AR(7);AY(5);
o249	5	2	Day5,17:58	Day5,18:8	Day5,18:54	6	1	25	AM(25);
o250	5	1	Day5,17:49	Day5,18:29	Day5,19:14	1	3	28	AA(13);BG(8);AJ(7);
o251	5	2	Day5,18:8	Day5,18:33	Day5,19:24	2	2	27	AH(17);AK(10);
o252	5	1	Day5,18:29	Day5,18:54	Day5,19:39	3	2	26	AX(17);AC(9);
o253	5	2	Day5,18:33	Day5,18:58	Day5,19:49	7	2	28	AP(15);AN(13);
o254	5	1	Day5,18:54	Day5,19:19	Day5,20:4	4	2	26	AU(13);AB(13);
o255	5	2	Day5,19:7	Day5,19:32	Day5,20:17	5	2	42	AW(23);AF(19);
o256	5	1	Day5,20:2	Day5,20:27	Day5,21:12	1	2	35	AD(20);BB(15);
o257	5	2	Day5,20:2	Day5,20:27	Day5,21:22	2	2	25	AV(18);AZ(7);
o258	5	1	Day5,20:27	Day5,20:52	Day5,21:37	3	2	36	AR(18);AY(18);
o259	5	2	Day5,20:53	Day5,21:3	Day5,21:48	4	1	25	AH(25);
o260	5	1	Day5,20:53	Day5,21:18	Day5,22:3	5	2	41	BF(21);AP(20);
o261	5	2	Day5,21:53	Day5,22:3	Day5,22:48	1	1	29	AW(29);
o262	6	1	Day5,21:53	Day5,22:18	Day5,23:3	2	2	37	BG(21);AA(16);
o263	6	2	Day5,22:49	Day5,22:59	Day5,23:44	1	1	25	AH(25);
o264	6	1	Day5,22:49	Day5,22:59	Day5,23:54	3	1	25	AK(25);
o265	6	1	Day5,23:44	Day5,23:54	Day6,0:39	2	1	30	AX(30);
o266	6	2	Day5,23:44	Day5,23:54	Day6,0:49	4	1	25	BE(25);
o267	6	1	Day6,0:26	Day6,0:36	Day6,1:21	1	1	27	AY(27);
o268	6	2	Day6,0:26	Day6,0:51	Day6,1:36	3	2	33	AV(24);AZ(9);
o269	6	1	Day6,0:36	Day6,1:1	Day6,1:46	5	2	37	AE(24);AH(13);
o270	6	1	Day6,1:3	Day6,1:13	Day6,1:58	4	1	25	AN(25);
o271	6	2	Day6,0:51	Day6,1:16	Day6,2:8	2	2	43	AW(22);AB(21);
